technology,rsp,state,geography,download_busy,upload_busy,latency_busy,tier,underperforming
Fibre to the Premises,Other RSPs,VIC,Urban,86.44,37.52,18.79,100/40 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,VIC,Urban,99.71,18.91,1.92,100/20 Mbps,FALSE
Fibre to the Curb,Dodo & iPrimus,VIC,Urban,53.65,18.84,5.97,50/20 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,VIC,Urban,107.17,18.65,2.85,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Optus,VIC,Urban,108.2,37.43,10.55,100/40 Mbps,FALSE
Fibre to the Premises,Exetel,NT + SA,Urban,265.62,23.52,10.29,250/25 Mbps,FALSE
Fibre to the Premises,Superloop,VIC,Urban,53.77,18.92,1.98,50/20 Mbps,FALSE
Fibre to the Premises,Launtel,VIC,Urban,97.25,34.66,4.92,100/40 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,VIC,Urban,268.48,23.07,2.21,250/25 Mbps,FALSE
Fibre to the Node,Telstra,VIC,Major Rural,53.78,15.28,12.32,50/20 Mbps,FALSE
Fibre to the Premises,Exetel,NT + SA,Urban,50.25,17.92,11.58,50/20 Mbps,FALSE
Fibre to the Premises,iiNet,VIC,Urban,99.72,18.74,6.26,100/20 Mbps,FALSE
Fibre to the Node,iiNet,NT + SA,Urban,49,18.61,18.38,50/20 Mbps,FALSE
Fibre to the Node,Aussie Broadband,VIC,Urban,53.42,18.94,8.75,50/20 Mbps,FALSE
Fibre to the Premises,Exetel,TAS,Urban,104.07,37.44,11.31,100/40 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,VIC,Urban,267.7,23.53,5.87,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,TPG,VIC,Urban,53.13,18.8,8.77,50/20 Mbps,FALSE
Fibre to the Node,Superloop,VIC,Urban,53.71,5.43,11.7,50/20 Mbps,FALSE
Fibre to the Premises,Other RSPs,NT + SA,Urban,88.56,18.81,14.92,100/20 Mbps,FALSE
Fibre to the Premises,Telstra,VIC,Urban,54.09,19.06,1.98,50/20 Mbps,FALSE
Fibre to the Premises,Exetel,VIC,Urban,270.91,23.62,4.71,250/25 Mbps,FALSE
Fibre to the Node,TPG,TAS,Urban,11.79,0.98,19.71,12/1 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,VIC,Urban,97.33,18.28,10.12,100/20 Mbps,FALSE
Fibre to the Node,Superloop,NT + SA,Urban,97.09,37.84,19.55,100/40 Mbps,FALSE
Fibre to the Premises,TPG,TAS,Urban,51.99,16.65,16.18,50/20 Mbps,FALSE
Fibre to the Premises,Telstra,VIC,Urban,270.63,23.83,5.11,250/25 Mbps,FALSE
Fibre to the Node,Other RSPs,TAS,Major Rural,52.83,15.11,24.63,100/20 Mbps,TRUE
Hybrid Fibre Coaxial,Optus,VIC,Urban,54.43,18.94,8.87,50/20 Mbps,FALSE
Fibre to the Premises,iiNet,TAS,Urban,102.98,37.88,13.94,100/40 Mbps,FALSE
Fibre to the Node,iiNet,NT + SA,Urban,52.04,18.77,19.71,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Launtel,VIC,Urban,95.89,17.58,9.35,100/20 Mbps,FALSE
Fibre to the Premises,Launtel,TAS,Urban,100.93,18.06,9.14,100/20 Mbps,FALSE
Fibre to the Premises,Other RSPs,VIC,Urban,94.33,37.88,3.69,100/40 Mbps,FALSE
Hybrid Fibre Coaxial,Optus,VIC,Urban,107.17,37.4,9.29,100/40 Mbps,FALSE
Fibre to the Premises,Exetel,VIC,Urban,271.41,23.5,3.18,250/25 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,VIC,Urban,106.28,18.87,2.94,100/20 Mbps,FALSE
Fibre to the Node,Telstra,VIC,Urban,54.14,19.07,10.71,50/20 Mbps,FALSE
Fibre to the Curb,TPG,VIC,Urban,50.97,18.56,6.84,50/20 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Urban,263.84,23.65,2.3,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,Dodo & iPrimus,VIC,Urban,52.29,18.75,8.39,50/20 Mbps,FALSE
Fibre to the Premises,Launtel,TAS,Urban,102.49,18.17,9.8,100/20 Mbps,FALSE
Fibre to the Premises,Exetel,VIC,Urban,53.84,18.93,2.88,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,NT + SA,Urban,108.67,18.96,17.25,100/20 Mbps,FALSE
Fibre to the Premises,Other RSPs,TAS,Urban,105.81,18.94,13.73,100/20 Mbps,FALSE
Fibre to the Curb,Dodo & iPrimus,VIC,Urban,52.38,18.85,5.85,50/20 Mbps,FALSE
Fibre to the Node,iiNet,NT + SA,Urban,99.6,37.16,20.82,100/40 Mbps,FALSE
Fibre to the Curb,Telstra,VIC,Urban,54.52,19.08,6.49,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Vodafone,VIC,Urban,53.19,18.92,12.05,50/20 Mbps,FALSE
Fibre to the Premises,Telstra,VIC,Urban,194.73,20.28,2.3,250/25 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,NT + SA,Urban,52.33,18.77,13.77,50/20 Mbps,FALSE
Fibre to the Node,Telstra,NT + SA,Major Rural,26.93,4.8,26.35,25/5 Mbps,FALSE
Hybrid Fibre Coaxial,Dodo & iPrimus,VIC,Urban,26.25,9.4,7.78,25/10 Mbps,FALSE
Hybrid Fibre Coaxial,Aussie Broadband,VIC,Urban,108.08,18.89,10.82,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Other RSPs,VIC,Urban,47.58,18.63,8.7,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Aussie Broadband,VIC,Urban,53.53,18.9,8.19,50/20 Mbps,FALSE
Fibre to the Premises,Telstra,VIC,Urban,106.27,18.77,11.8,100/20 Mbps,FALSE
Fibre to the Premises,Telstra,NT + SA,Urban,53.77,17.37,46.48,50/20 Mbps,FALSE
Fibre to the Node,Aussie Broadband,NT + SA,Urban,24.47,6.33,21.51,25/10 Mbps,FALSE
Fibre to the Premises,Optus,VIC,Major Rural,109.01,19.04,14.16,100/20 Mbps,FALSE
Fibre to the Premises,Superloop,NT + SA,Urban,88.59,18.96,13.62,100/20 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,TAS,Urban,52.88,9.77,20.08,50/20 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,VIC,Urban,108.3,18.95,2.84,100/20 Mbps,FALSE
Fibre to the Curb,Optus,VIC,Urban,54.68,18.8,7.11,50/20 Mbps,FALSE
Fibre to the Premises,Other RSPs,VIC,Urban,27.16,9.45,3.64,25/10 Mbps,FALSE
Fibre to the Curb,Aussie Broadband,VIC,Urban,106.04,37.74,4.69,100/40 Mbps,FALSE
Fibre to the Premises,Telstra,VIC,Urban,53.55,18.82,3.61,50/20 Mbps,FALSE
Fibre to the Node,Other RSPs,VIC,Urban,54.21,0.58,12.57,50/20 Mbps,FALSE
Fibre to the Premises,iiNet,TAS,Urban,52.25,18.79,14.21,50/20 Mbps,FALSE
Fibre to the Premises,Telstra,VIC,Urban,107.62,18.96,2.02,100/20 Mbps,FALSE
Fibre to the Node,Telstra,VIC,Urban,52.79,19.01,11.26,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,VIC,Urban,53.84,18.78,9.05,50/20 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,VIC,Urban,26.14,9.42,6.61,25/10 Mbps,FALSE
Fibre to the Premises,TPG,NT + SA,Urban,107.45,37.73,11.91,100/40 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Urban,265.06,23.82,3.86,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,Vodafone,VIC,Urban,52.77,18.62,8.53,50/20 Mbps,FALSE
Fibre to the Node,Aussie Broadband,VIC,Urban,53.55,17.82,10.43,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Dodo & iPrimus,VIC,Urban,53.08,18.82,7.78,50/20 Mbps,FALSE
Fibre to the Premises,Other RSPs,TAS,Urban,95.31,18.88,15.55,100/20 Mbps,FALSE
Fibre to the Node,TPG,VIC,Urban,31.53,9.75,12.2,50/20 Mbps,TRUE
Hybrid Fibre Coaxial,Aussie Broadband,VIC,Urban,53.9,18.92,8.33,50/20 Mbps,FALSE
Fibre to the Node,Superloop,VIC,Minor Rural,20.69,5.29,15.1,25/10 Mbps,FALSE
Fibre to the Node,Leaptel,VIC,Urban,98,36.36,9.93,100/40 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,VIC,Urban,50.29,12.83,12.41,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Aussie Broadband,NT + SA,Urban,27.11,9.46,17.94,25/10 Mbps,FALSE
Fibre to the Premises,Exetel,VIC,Urban,53.92,18.8,2.77,50/20 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,NT + SA,Urban,52.69,18.86,19.71,50/20 Mbps,FALSE
Fibre to the Curb,Optus,VIC,Urban,107.98,37.38,6.7,100/40 Mbps,FALSE
Fibre to the Node,TPG,VIC,Major Rural,53.44,18.8,15.03,50/20 Mbps,FALSE
Fibre to the Premises,Superloop,VIC,Urban,109.29,18.96,2.07,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,TPG,VIC,Urban,106.94,18.77,8.39,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,VIC,Urban,108.85,18.81,11.76,100/20 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Urban,263.57,22.75,2.58,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,Leaptel,VIC,Urban,262.7,23.68,8.36,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,Vodafone,VIC,Urban,269.82,23.8,8.93,250/25 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,VIC,Urban,265.87,23.63,3.1,250/25 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,VIC,Urban,15.43,4.66,11.5,15/5 Mbps,FALSE
Fibre to the Premises,Superloop,NT + SA,Urban,53.87,18.83,11.42,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Optus,VIC,Urban,54.37,18.53,12.4,50/20 Mbps,FALSE
Fibre to the Premises,TPG,NT + SA,Urban,268.32,23.65,62.11,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,Other RSPs,VIC,Urban,95.53,37.38,9.54,100/40 Mbps,FALSE
Fibre to the Curb,TPG,VIC,Urban,52.79,18.84,4.55,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Dodo & iPrimus,QLD,Urban,106.09,37.65,9.81,100/40 Mbps,FALSE
Fibre to the Premises,Exetel,NSW,Urban,53.08,18.58,12.21,50/20 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,QLD,Urban,96.68,18.28,2.92,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Leaptel,WA,Urban,52.72,18.77,9.17,50/20 Mbps,FALSE
Fibre to the Node,Superloop,NSW,Urban,101.41,18.81,13.03,100/20 Mbps,FALSE
Fibre to the Premises,TPG,QLD,Urban,107.02,18.83,3.32,100/20 Mbps,FALSE
Fibre to the Premises,Telstra,TAS,Urban,51.62,18.95,12.86,50/20 Mbps,FALSE
Fibre to the Premises,iiNet,WA,Urban,52.19,18.94,3.6,50/20 Mbps,FALSE
Fibre to the Node,Other RSPs,NSW,Urban,30.14,5.66,11.79,50/20 Mbps,TRUE
Fibre to the Premises,TPG,NSW,Urban,107.05,18.81,1.45,100/20 Mbps,FALSE
Fibre to the Curb,Aussie Broadband,QLD,Major Rural,53.88,18.89,9.94,50/20 Mbps,FALSE
Fibre to the Premises,Launtel,ACT,Urban,92.76,18.23,6.18,100/20 Mbps,FALSE
Fibre to the Premises,Leaptel,QLD,Urban,106.26,18.96,2.92,100/20 Mbps,FALSE
Fibre to the Node,Telstra,NSW,Urban,100.27,19.09,12.89,100/20 Mbps,FALSE
Fibre to the Premises,Other RSPs,QLD,Urban,104.13,18.84,4.41,100/20 Mbps,FALSE
Fibre to the Premises,Exetel,NSW,Urban,269.09,23.59,2.09,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,Launtel,NSW,Urban,99.17,18.25,7.72,100/20 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,NSW,Major Rural,26.35,4.71,16.11,25/5 Mbps,FALSE
Fibre to the Premises,Exetel,NSW,Urban,101.87,37.27,2.55,100/40 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,WA,Urban,107.21,18.93,8.24,100/20 Mbps,FALSE
Fibre to the Node,iiNet,NSW,Urban,26.6,4.73,11.17,25/5 Mbps,FALSE
Fibre to the Node,Exetel,NSW,Urban,53.3,17.58,9.17,50/20 Mbps,FALSE
Fibre to the Premises,Exetel,NSW,Urban,108.03,37.72,5.3,100/40 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,QLD,Urban,26.26,9.43,11.67,25/10 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,NT + SA,Urban,52.65,18.83,18.34,50/20 Mbps,FALSE
Fibre to the Premises,Superloop,NSW,Urban,224.63,22.62,1.98,250/25 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,QLD,Urban,24.12,4.68,13.33,25/5 Mbps,FALSE
Fibre to the Premises,iiNet,NSW,Urban,53.04,18.87,2.42,50/20 Mbps,FALSE
Fibre to the Premises,Telstra,NSW,Urban,105.91,18.81,5.61,100/20 Mbps,FALSE
Fibre to the Premises,Exetel,VIC,Urban,104.98,37.52,2.92,100/40 Mbps,FALSE
Fibre to the Curb,Superloop,NSW,Urban,84.08,37.9,5.24,100/40 Mbps,FALSE
Fibre to the Premises,Exetel,NSW,Urban,52.75,18.77,4.73,50/20 Mbps,FALSE
Fibre to the Premises,Launtel,NSW,Major Rural,244.68,74.28,3.34,250/100 Mbps,FALSE
Fibre to the Premises,Leaptel,ACT,Urban,104.82,18.72,7.59,100/20 Mbps,FALSE
Fibre to the Premises,Exetel,NSW,Urban,53.48,18.78,2.74,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,VIC,Urban,108.81,18.69,8.1,100/20 Mbps,FALSE
Fibre to the Premises,Telstra,NSW,Urban,94.06,19.05,3,100/20 Mbps,FALSE
Fibre to the Premises,Superloop,QLD,Urban,51.89,18.96,2.53,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Exetel,NSW,Urban,53.23,18.69,8.18,50/20 Mbps,FALSE
Fibre to the Node,Leaptel,ACT,Urban,54.88,18.96,13.44,100/20 Mbps,TRUE
Fibre to the Premises,Superloop,WA,Urban,271.28,23.71,2.43,250/25 Mbps,FALSE
Fibre to the Premises,Exetel,ACT,Urban,93.26,18.96,8.71,100/20 Mbps,FALSE
Fibre to the Node,Telstra,QLD,Urban,53,15.08,22.36,50/20 Mbps,FALSE
Fibre to the Curb,Optus,NSW,Major Rural,51.73,18.57,7.79,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,QLD,Urban,272.11,23.45,9.43,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,Leaptel,QLD,Urban,106.38,18.97,8.21,100/20 Mbps,FALSE
Fibre to the Premises,Exetel,WA,Urban,54.37,18.87,5.93,50/20 Mbps,FALSE
Fibre to the Node,TPG,NSW,Urban,52.72,16.86,10.52,50/20 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,VIC,Urban,40.01,12.39,16.58,50/20 Mbps,FALSE
Fibre to the Premises,Exetel,NSW,Urban,52.29,18.83,5.04,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Other RSPs,QLD,Urban,24.96,4.61,7.74,25/5 Mbps,FALSE
Hybrid Fibre Coaxial,Vodafone,NSW,Urban,52.7,18.6,7.83,50/20 Mbps,FALSE
Fibre to the Node,Leaptel,WA,Urban,29.58,7.84,9.71,50/20 Mbps,TRUE
Hybrid Fibre Coaxial,Superloop,QLD,Urban,100.84,18.41,13.5,100/20 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,WA,Urban,53.12,18.8,,50/20 Mbps,FALSE
Fibre to the Premises,Other RSPs,VIC,Urban,51.16,18.83,15.47,50/20 Mbps,FALSE
Fibre to the Premises,Superloop,NSW,Urban,53.89,18.88,4.49,50/20 Mbps,FALSE
Fibre to the Curb,Optus,NSW,Urban,52.82,18.59,5.65,50/20 Mbps,FALSE
Fibre to the Premises,Telstra,NSW,Urban,108.81,19.05,7.79,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Other RSPs,QLD,Urban,43.33,18.63,14.89,50/20 Mbps,FALSE
Fibre to the Node,Telstra,NSW,Urban,107.94,18.9,16.56,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Vodafone,QLD,Urban,92.87,18.61,9.43,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Exetel,NSW,Urban,51.83,18.74,11.54,50/20 Mbps,FALSE
Fibre to the Premises,Superloop,NSW,Urban,107.96,18.89,2.94,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Optus,VIC,Urban,52.85,18.55,10.11,50/20 Mbps,FALSE
Fibre to the Premises,Exetel,NSW,Urban,107.74,18.83,2.74,100/20 Mbps,FALSE
Fibre to the Premises,TPG,NSW,Major Rural,106.84,16.56,3.03,100/20 Mbps,FALSE
Fibre to the Premises,Exetel,NSW,Urban,501.22,46.91,5.49,500/50 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,NSW,Urban,104.81,18.69,4.99,100/20 Mbps,FALSE
Fibre to the Premises,TPG,NSW,Urban,267.02,23.66,4.06,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,Aussie Broadband,NSW,Urban,72.67,18.85,8.09,75/20 Mbps,FALSE
Fibre to the Premises,Other RSPs,QLD,Urban,240.72,23.55,18.78,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,Dodo & iPrimus,QLD,Urban,104.45,18.82,10.1,100/20 Mbps,FALSE
Fibre to the Node,iiNet,NSW,Urban,23.28,8.83,12,25/10 Mbps,FALSE
Fibre to the Premises,Telstra,NSW,Urban,108.01,18.99,3.24,100/20 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,NT + SA,Urban,107.37,18.84,44.28,100/20 Mbps,FALSE
Fibre to the Premises,Vodafone,NSW,Urban,107.38,18.77,5.04,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Dodo & iPrimus,NSW,Urban,107.33,18.84,8.73,100/20 Mbps,FALSE
Fibre to the Premises,Leaptel,QLD,Major Rural,266.29,23.81,3.32,250/25 Mbps,FALSE
Fibre to the Premises,Telstra,NSW,Major Rural,108.92,18.8,13.52,100/20 Mbps,FALSE
Fibre to the Premises,Superloop,NSW,Urban,108.19,18.95,12.98,100/20 Mbps,FALSE
Fibre to the Premises,TPG,QLD,Urban,107.69,18.86,2.33,100/20 Mbps,FALSE
Fibre to the Premises,Exetel,NSW,Urban,107.07,18.74,5.32,100/20 Mbps,FALSE
Fibre to the Node,Optus,NSW,Urban,46.14,17.45,9.72,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Vodafone,QLD,Urban,84.91,18.85,10.27,100/20 Mbps,FALSE
Fibre to the Premises,iiNet,WA,Urban,84.33,31.24,10.23,100/40 Mbps,FALSE
Fibre to the Premises,TPG,QLD,Major Rural,26.06,4.7,2.62,25/5 Mbps,FALSE
Fibre to the Premises,Leaptel,NSW,Urban,25.06,9.45,3.66,25/10 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,VIC,Urban,51.46,16.16,13.05,50/20 Mbps,FALSE
Fibre to the Premises,iiNet,NSW,Urban,92.71,18.87,11.21,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Other RSPs,VIC,Urban,51.39,18.77,8.18,50/20 Mbps,FALSE
Fibre to the Premises,Launtel,NSW,Urban,51.58,18.2,3.21,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,NSW,Urban,103.76,18.35,10.85,100/20 Mbps,FALSE
Fibre to the Node,TPG,NSW,Major Rural,26.38,4.71,18.35,25/5 Mbps,FALSE
Hybrid Fibre Coaxial,TPG,NSW,Urban,106.46,18.88,7.92,100/20 Mbps,FALSE
Fibre to the Premises,Optus,NSW,Urban,272.22,23.21,3.45,250/25 Mbps,FALSE
Fibre to the Premises,Exetel,QLD,Urban,253.02,23.22,4.41,250/25 Mbps,FALSE
Fibre to the Node,Aussie Broadband,NSW,Urban,51.11,18.72,13.16,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Optus,NSW,Urban,109.03,37.41,9.09,100/40 Mbps,FALSE
Fibre to the Node,Telstra,NSW,Urban,26.29,4.95,16.12,25/5 Mbps,FALSE
Fibre to the Node,Optus,NSW,Urban,61.17,18.88,13.74,100/20 Mbps,TRUE
Fibre to the Premises,Superloop,NSW,Urban,107.04,18.91,2.02,100/20 Mbps,FALSE
Fibre to the Premises,Exetel,QLD,Major Rural,46.17,17.62,6.56,50/20 Mbps,FALSE
Fibre to the Premises,Exetel,QLD,Urban,50.76,18.86,1.9,50/20 Mbps,FALSE
Fibre to the Premises,Superloop,QLD,Urban,107.51,37.76,2.86,100/40 Mbps,FALSE
Fibre to the Premises,Telstra,NSW,Urban,53.69,18.99,4.93,50/20 Mbps,FALSE
Fibre to the Node,Optus,NSW,Urban,37.84,8.02,17.02,50/20 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,WA,Urban,25.83,4.67,3.59,25/5 Mbps,FALSE
Fibre to the Node,iiNet,NT + SA,Urban,41.31,9.36,19.42,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,TPG,QLD,Urban,103.68,37.56,11.03,100/40 Mbps,FALSE
Fibre to the Premises,Exetel,NSW,Urban,263.67,23.54,3.83,250/25 Mbps,FALSE
Fibre to the Premises,Exetel,NSW,Urban,269.58,23.56,16.51,250/25 Mbps,FALSE
Fibre to the Node,Vodafone,WA,Urban,26.16,4.33,10.09,25/5 Mbps,FALSE
Fibre to the Node,iiNet,QLD,Urban,53.28,18.81,10.22,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,TPG,WA,Urban,107.07,18.8,9.25,100/20 Mbps,FALSE
Fibre to the Premises,Launtel,WA,Urban,105.2,18.23,2.98,100/20 Mbps,FALSE
Fibre to the Node,Telstra,NSW,Urban,54.31,19.09,10.18,50/20 Mbps,FALSE
Fibre to the Premises,TPG,VIC,Urban,96.57,16.08,10.34,100/20 Mbps,FALSE
Fibre to the Node,iiNet,NSW,Urban,52.88,18.58,10.61,50/20 Mbps,FALSE
Fibre to the Premises,Telstra,QLD,Urban,106.02,18.76,19.37,100/20 Mbps,FALSE
Fibre to the Node,iiNet,NSW,Minor Rural,52.66,18.89,18.39,50/20 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,QLD,Urban,23.44,9.13,10.58,25/10 Mbps,FALSE
Fibre to the Node,Other RSPs,QLD,Urban,52.22,18.79,30.83,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Dodo & iPrimus,VIC,Urban,102.45,18.79,10.46,100/20 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,ACT,Urban,103.86,18.84,6.87,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,TPG,VIC,Urban,52.73,18.78,7.96,50/20 Mbps,FALSE
Fibre to the Premises,Other RSPs,VIC,Major Rural,248.27,23.68,12.12,250/25 Mbps,FALSE
Fibre to the Node,Exetel,QLD,Urban,37.83,7.81,26.94,50/20 Mbps,FALSE
Fibre to the Premises,Leaptel,WA,Urban,52.5,18.9,2.33,50/20 Mbps,FALSE
Fibre to the Premises,Exetel,NSW,Urban,277.9,40.39,2.46,500/50 Mbps,TRUE
Fibre to the Node,Aussie Broadband,WA,Urban,53.84,18.93,16.74,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Superloop,QLD,Urban,103.1,18.61,8.19,100/20 Mbps,FALSE
Fibre to the Node,Exetel,NSW,Minor Rural,51.86,10.06,22.8,50/20 Mbps,FALSE
